,Category,Engine type,"Transmission type,final drive",Displacement ccm,Fuel capacity liters,Power HP,Front brakes,Rear brakes
1,Super motard,"V2, four-stroke",Chain,896.1,12.0,95.2,Double disc,Single disc
2,Sport,"Single cylinder, four-stroke",Chain,124.2,14.5,28.2,Single disc,Single disc
3,Sport,"Single cylinder, four-stroke",Chain,124.2,14.5,15.0,Single disc,Single disc
5,Sport,"Twin, four-stroke",Chain,659.0,15.0,100.0,Double disc,Single disc
6,Sport,"Twin, four-stroke",Chain,659.0,15.0,46.9,Double disc,Single disc
11,Enduro / offroad,"Single cylinder, four-stroke",Chain,124.2,7.5,15.0,Single disc,Single disc
12,Enduro / offroad,"Single cylinder, four-stroke",Chain,124.2,7.5,15.0,Single disc,Single disc
17,Scooter,"Single cylinder, two-stroke",Belt,49.0,7.6,4.0,Single disc,Single disc
18,Scooter,"Single cylinder, two-stroke",Belt,49.0,6.5,2.0,Single disc,Expanding brake (drum brake)
20,Super motard,"Single cylinder, four-stroke",Chain,124.8,10.0,15.0,Single disc,Single disc
22,Naked bike,"V2, four-stroke",Chain,896.0,15.0,95.0,Double disc,Single disc
23,Naked bike,"Single cylinder, four-stroke",Chain,124.2,14.5,15.0,Single disc,Single disc
25,Naked bike,"V4, four-stroke",Chain,1077.0,18.5,175.0,Double disc,Single disc
26,Naked bike,"V4, four-stroke",Chain,1077.0,18.5,175.0,Double disc,Single disc
27,Naked bike,"V4, four-stroke",Chain,1077.0,18.5,175.0,Double disc,Single disc
31,Enduro / offroad,"Twin, four-stroke",Chain,853.0,15.0,77.0,Double disc,Single disc
32,Enduro / offroad,"Twin, four-stroke",Chain,853.0,15.0,77.0,Double disc,Single disc
33,Enduro / offroad,"Twin, four-stroke",Chain,853.0,15.0,90.0,Double disc,Single disc
34,Enduro / offroad,"Twin, four-stroke",Chain,853.0,23.0,90.0,Double disc,Single disc
35,Enduro / offroad,"Twin, four-stroke",Chain,853.0,15.0,76.4,Double disc,Single disc
36,Sport,"Single cylinder, four-stroke",Chain,313.0,11.5,33.5,Single disc,Single disc
47,Enduro / offroad,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1254.0,20.0,136.0,Double disc,Single disc
49,Naked bike,"Twin, four-stroke",Shaft drive (cardan),1254.0,15.14,136.0,Double disc,Single disc
50,Enduro / offroad,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1254.0,18.0,136.0,Double disc,Single disc
51,Custom / cruiser,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1802.0,16.01,91.0,Double disc,Single disc
52,Custom / cruiser,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1802.0,16.01,91.0,Double disc,Single disc
54,Sport,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1170.0,17.0,109.0,Double disc,Single disc
55,Naked bike,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1170.0,18.0,107.3,Double disc,Single disc
56,Naked bike,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1170.0,17.0,107.3,Double disc,Single disc
57,Naked bike,"Single cylinder, four-stroke",Shaft drive (cardan),1170.0,17.0,107.3,Double disc,Single disc
58,Naked bike,"In-line four, four-stroke",Chain,999.0,17.5,165.0,Double disc,Single disc
60,Sport,"In-line four, four-stroke",Chain,999.0,20.0,165.0,Double disc,Single disc
61,Custom / cruiser,"Twin, four-stroke",Chain,220.0,13.0,18.8,Single disc,Expanding brake (drum brake)
62,Allround,"Single cylinder, four-stroke",Chain,102.0,10.5,7.8,Expanding brake (drum brake),Expanding brake (drum brake)
63,Allround,"Single cylinder, four-stroke",Chain,102.0,10.5,7.8,Expanding brake (drum brake),Expanding brake (drum brake)
64,Allround,"Single cylinder, four-stroke",Chain,115.5,10.5,8.5,Expanding brake (drum brake),Expanding brake (drum brake)
65,Allround,"Single cylinder, four-stroke",Chain,115.5,10.5,8.5,Expanding brake (drum brake),Expanding brake (drum brake)
70,Allround,"Single cylinder, four-stroke",Chain,102.0,11.0,7.8,Single disc,Expanding brake (drum brake)
71,Allround,"Single cylinder, four-stroke",Chain,115.5,11.0,8.5,Single disc,Expanding brake (drum brake)
74,Sport,"Single cylinder, four-stroke",Chain,178.6,15.0,16.8,Single disc,Single disc
76,Sport,"Single cylinder, four-stroke",Chain,160.3,12.0,17.0,Single disc,Single disc
77,Sport,"Single cylinder, four-stroke",Chain,199.5,12.0,24.1,Single disc,Single disc
